step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,3A:3A,3,A,3,A,12,12,15
1,1A:1A,1,A,1,A,12,12,15
2,9A:14B,9,A,14,B,12,13,15
3,7A:9A,7,A,9,A,13,13,15
4,6A:0A,6,A,0,A,13,13,15
5,1A:3A,1,A,3,A,13,13,15
6,7A:0A,7,A,0,A,13,13,15
7,8A:11A,8,A,11,A,13,13,15
8,9A:8A,9,A,8,A,13,13,15
9,6A:7A,6,A,7,A,13,13,15
10,8A:12B,8,A,12,B,13,14,15
11,12A:12A,12,A,12,A,14,14,15
12,11A:11A,11,A,11,A,14,14,15
13,6A:4A,6,A,4,A,14,14,15
14,2A:12A,2,A,12,A,14,14,15
15,4A:1A,4,A,1,A,14,14,15
16,5A:5A,5,A,5,A,14,14,15
17,12A:9A,12,A,9,A,14,14,15
18,3A:0A,3,A,0,A,14,14,15
19,10A:8A,10,A,8,A,14,14,15
20,1A:14A,1,A,14,A,14,14,15
21,5A:8A,5,A,8,A,14,14,15
22,4A:10A,4,A,10,A,14,14,15
23,9A:13B,9,A,13,B,14,15,15
