step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,8B:16B,8,B,16,B,4,4,20
3,9B:14B,9,B,14,B,4,4,20
6,12B:4B,12,B,4,B,4,4,20
9,1A:6A,1,A,6,A,5,5,20
12,0A:1A,0,A,1,A,5,5,20
15,18B:3A,18,B,3,A,6,5,20
18,10A:1A,10,A,1,A,7,7,20
21,12A:19A,12,A,19,A,9,9,20
24,12A:2B,12,A,2,B,7,8,20
27,17B:12A,17,B,12,A,9,8,20
30,6A:16A,6,A,16,A,9,9,20
33,16A:13A,16,A,13,A,10,10,20
36,0B:6A,0,B,6,A,10,9,20
39,3B:8B,3,B,8,B,8,8,20
42,12A:1A,12,A,1,A,9,9,20
45,9A:15B,9,A,15,B,10,11,20
48,7B:6B,7,B,6,B,13,13,20
51,19A:10A,19,A,10,A,14,14,20
54,12A:11A,12,A,11,A,14,14,20
57,17A:8B,17,A,8,B,13,14,20
60,9A:11A,9,A,11,A,14,14,20
63,9A:19A,9,A,19,A,15,15,20
66,12A:14A,12,A,14,A,14,14,20
69,5A:0B,5,A,0,B,16,17,20
72,8A:7A,8,A,7,A,17,17,20
75,11A:8A,11,A,8,A,17,17,20
78,17A:6A,17,A,6,A,17,17,20
81,11A:0A,11,A,0,A,17,17,20
84,17A:13A,17,A,13,A,17,17,20
87,3B:8A,3,B,8,A,16,15,20
90,2A:17B,2,A,17,B,14,15,20
93,8B:10B,8,B,10,B,16,16,20
96,14A:9A,14,A,9,A,17,17,20
99,4A:19A,4,A,19,A,17,17,20
102,6A:7A,6,A,7,A,17,17,20
105,19A:11A,19,A,11,A,17,17,20
108,4A:4A,4,A,4,A,17,17,20
111,7A:16A,7,A,16,A,17,17,20
114,16A:7A,16,A,7,A,17,17,20
117,13A:3A,13,A,3,A,16,16,20
120,6A:15A,6,A,15,A,17,17,20
123,4A:17A,4,A,17,A,17,17,20
126,5A:19A,5,A,19,A,17,17,20
129,5A:1A,5,A,1,A,17,17,20
132,8B:19A,8,B,19,A,18,17,20
135,9A:12A,9,A,12,A,17,17,20
138,16A:3A,16,A,3,A,17,17,20
141,19B:9A,19,B,9,A,16,15,20
144,14A:0A,14,A,0,A,15,15,20
147,3A:6B,3,A,6,B,15,16,20
150,15A:17A,15,A,17,A,15,15,20
153,13A:17A,13,A,17,A,15,15,20
156,15A:16B,15,A,16,B,15,16,20
159,16A:16A,16,A,16,A,16,16,20
162,9A:11A,9,A,11,A,17,17,20
165,7A:2A,7,A,2,A,18,18,20
168,2A:2A,2,A,2,A,18,18,20
171,2A:18B,2,A,18,B,17,18,20
174,18A:15A,18,A,15,A,19,19,20
177,13A:10A,13,A,10,A,19,19,20
180,6A:1A,6,A,1,A,19,19,20
183,18A:19A,18,A,19,A,19,19,20
186,2A:13A,2,A,13,A,19,19,20
189,11A:15A,11,A,15,A,19,19,20
192,7A:7A,7,A,7,A,19,19,20
195,16A:14A,16,A,14,A,19,19,20
198,2A:18A,2,A,18,A,19,19,20
