run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run01,0,20,B,19,B,20B:19B,13,13,22,1.3,13
exp002_run01,3,11,A,12,A,11A:12A,14,14,22,1.3,13
exp002_run01,6,21,B,6,A,21B:6A,15,14,22,1.3,13
exp002_run01,9,17,B,1,A,17B:1A,15,14,22,1.3,13
exp002_run01,12,19,A,20,A,19A:20A,14,14,22,1.3,13
exp002_run01,15,13,B,4,A,13B:4A,14,13,22,1.3,13
exp002_run01,18,11,A,5,B,11A:5B,12,13,22,1.3,13
exp002_run01,21,9,A,16,A,9A:16A,13,13,22,1.3,13
exp002_run01,24,4,B,20,A,4B:20A,13,12,22,1.3,13
exp002_run01,27,15,B,17,B,15B:17B,13,13,22,1.3,13
exp002_run01,30,14,B,3,A,14B:3A,13,12,22,1.3,13
exp002_run01,33,8,A,8,A,8A:8A,12,12,22,1.3,13
exp002_run01,36,8,A,5,A,8A:5A,12,12,22,1.3,13
exp002_run01,39,12,A,0,A,12A:0A,10,10,22,1.3,13
exp002_run01,42,9,A,20,B,9A:20B,9,10,22,1.3,13
exp002_run01,45,15,B,21,B,15B:21B,10,10,22,1.3,13
exp002_run01,48,4,A,2,A,4A:2A,10,10,22,1.3,13
exp002_run01,51,2,A,8,A,2A:8A,9,9,22,1.3,13
exp002_run01,54,13,B,13,B,13B:13B,9,9,22,1.3,13
exp002_run01,57,15,B,10,A,15B:10A,8,7,22,1.3,13
exp002_run01,60,14,B,21,B,14B:21B,7,7,22,1.3,13
exp002_run01,63,8,A,18,B,8A:18B,7,8,22,1.3,13
exp002_run01,66,5,B,3,A,5B:3A,10,9,22,1.3,13
exp002_run01,69,16,A,3,A,16A:3A,11,11,22,1.3,13
exp002_run01,72,16,A,21,B,16A:21B,11,12,22,1.3,13
exp002_run01,75,20,A,11,B,20A:11B,12,13,22,1.3,13
exp002_run01,78,21,A,13,B,21A:13B,13,14,22,1.3,13
exp002_run01,81,8,A,0,A,8A:0A,15,15,22,1.3,13
exp002_run01,84,13,A,20,A,13A:20A,14,14,22,1.3,13
exp002_run01,87,19,A,5,B,19A:5B,14,15,22,1.3,13
exp002_run01,90,7,A,17,A,7A:17A,16,16,22,1.3,13
exp002_run01,93,8,A,2,B,8A:2B,17,18,22,1.3,13
exp002_run01,96,10,B,0,B,10B:0B,18,18,22,1.3,13
exp002_run01,99,1,A,21,A,1A:21A,17,17,22,1.3,13
exp002_run01,102,3,A,14,A,3A:14A,16,16,22,1.3,13
exp002_run01,105,3,A,11,A,3A:11A,15,15,22,1.3,13
exp002_run01,108,11,A,11,A,11A:11A,15,15,22,1.3,13
exp002_run01,111,4,A,15,B,4A:15B,14,15,22,1.3,13
exp002_run01,114,7,A,12,A,7A:12A,16,16,22,1.3,13
exp002_run01,117,10,B,0,B,10B:0B,16,16,22,1.3,13
exp002_run01,120,1,A,4,A,1A:4A,16,16,22,1.3,13
exp002_run01,123,0,B,0,B,0B:0B,16,16,22,1.3,13
exp002_run01,126,12,A,15,A,12A:15A,18,18,22,1.3,13
exp002_run01,129,11,A,14,A,11A:14A,18,18,22,1.3,13
exp002_run01,132,6,B,2,A,6B:2A,17,16,22,1.3,13
exp002_run01,135,20,A,15,A,20A:15A,16,16,22,1.3,13
exp002_run01,138,1,A,0,A,1A:0A,16,16,22,1.3,13
exp002_run01,141,13,A,1,B,13A:1B,15,16,22,1.3,13
exp002_run01,144,7,A,19,A,7A:19A,16,16,22,1.3,13
exp002_run01,147,10,A,12,A,10A:12A,15,15,22,1.3,13
exp002_run01,150,14,A,19,A,14A:19A,15,15,22,1.3,13
exp002_run01,153,21,A,13,A,21A:13A,16,16,22,1.3,13
exp002_run01,156,21,A,2,B,21A:2B,16,17,22,1.3,13
exp002_run01,159,16,A,18,A,16A:18A,17,17,22,1.3,13
exp002_run01,162,5,B,10,B,5B:10B,18,18,22,1.3,13
exp002_run01,165,1,A,11,A,1A:11A,18,18,22,1.3,13
exp002_run01,168,5,B,11,A,5B:11A,18,17,22,1.3,13
exp002_run01,171,7,A,6,A,7A:6A,18,18,22,1.3,13
exp002_run01,174,6,A,1,A,6A:1A,18,18,22,1.3,13
exp002_run01,177,17,A,7,A,17A:7A,19,19,22,1.3,13
exp002_run01,180,13,A,8,A,13A:8A,20,20,22,1.3,13
exp002_run01,183,6,A,6,A,6A:6A,21,21,22,1.3,13
exp002_run01,186,14,A,10,B,14A:10B,21,22,22,1.3,13
