run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run02,0,3,A,3,A,3A:3A,13,13,22,1.3,13
exp002_run02,1,12,A,13,B,12A:13B,13,14,22,1.3,13
exp002_run02,2,2,A,13,A,2A:13A,14,14,22,1.3,13
exp002_run02,3,8,A,16,B,8A:16B,14,15,22,1.3,13
exp002_run02,4,15,B,1,A,15B:1A,15,14,22,1.3,13
exp002_run02,5,1,B,10,A,1B:10A,14,13,22,1.3,13
exp002_run02,6,18,B,9,A,18B:9A,13,12,22,1.3,13
exp002_run02,7,10,B,14,B,10B:14B,12,12,22,1.3,13
exp002_run02,8,8,A,8,A,8A:8A,12,12,22,1.3,13
exp002_run02,9,5,A,2,A,5A:2A,12,12,22,1.3,13
exp002_run02,10,1,B,16,A,1B:16A,12,11,22,1.3,13
exp002_run02,11,18,B,9,B,18B:9B,11,11,22,1.3,13
exp002_run02,12,12,A,3,A,12A:3A,11,11,22,1.3,13
exp002_run02,13,7,A,2,A,7A:2A,11,11,22,1.3,13
exp002_run02,14,2,A,6,A,2A:6A,11,11,22,1.3,13
exp002_run02,15,0,A,14,B,0A:14B,11,12,22,1.3,13
exp002_run02,16,2,A,19,B,2A:19B,12,13,22,1.3,13
exp002_run02,17,18,B,2,A,18B:2A,13,12,22,1.3,13
exp002_run02,18,21,B,12,A,21B:12A,12,11,22,1.3,13
exp002_run02,19,1,B,16,B,1B:16B,11,11,22,1.3,13
exp002_run02,20,14,A,9,B,14A:9B,11,12,22,1.3,13
exp002_run02,21,3,A,9,A,3A:9A,12,12,22,1.3,13
exp002_run02,22,4,A,12,B,4A:12B,12,13,22,1.3,13
exp002_run02,23,2,B,20,B,2B:20B,13,13,22,1.3,13
exp002_run02,24,8,A,8,A,8A:8A,13,13,22,1.3,13
exp002_run02,25,8,A,4,A,8A:4A,13,13,22,1.3,13
exp002_run02,26,3,A,15,B,3A:15B,13,14,22,1.3,13
exp002_run02,27,6,A,2,B,6A:2B,14,15,22,1.3,13
exp002_run02,28,1,B,1,B,1B:1B,15,15,22,1.3,13
exp002_run02,29,18,B,10,B,18B:10B,15,15,22,1.3,13
exp002_run02,30,6,A,15,A,6A:15A,15,15,22,1.3,13
exp002_run02,31,9,A,6,A,9A:6A,15,15,22,1.3,13
exp002_run02,32,12,A,17,B,12A:17B,15,16,22,1.3,13
exp002_run02,33,6,A,3,A,6A:3A,16,16,22,1.3,13
exp002_run02,34,11,A,20,B,11A:20B,16,17,22,1.3,13
exp002_run02,35,1,B,0,A,1B:0A,17,16,22,1.3,13
exp002_run02,36,6,A,2,A,6A:2A,16,16,22,1.3,13
