step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,3A:4B,3,A,4,B,4,5,20
1,2A:9B,2,A,9,B,5,6,20
2,16B:3A,16,B,3,A,6,5,20
3,9A:17B,9,A,17,B,5,6,20
4,16B:16B,16,B,16,B,6,6,20
5,0A:10B,0,A,10,B,6,7,20
6,17A:19B,17,A,19,B,7,8,20
7,2A:12B,2,A,12,B,8,9,20
8,2A:5B,2,A,5,B,9,10,20
9,16B:19A,16,B,19,A,10,9,20
10,16B:5A,16,B,5,A,9,8,20
11,14B:1A,14,B,1,A,8,7,20
12,8B:7B,8,B,7,B,7,7,20
13,19B:19B,19,B,19,B,7,7,20
14,5B:14B,5,B,14,B,7,7,20
15,4A:7B,4,A,7,B,7,8,20
16,6B:15B,6,B,15,B,8,8,20
17,17A:6B,17,A,6,B,8,9,20
18,7A:18B,7,A,18,B,9,10,20
19,19B:14B,19,B,14,B,10,10,20
20,15B:12A,15,B,12,A,10,9,20
21,9A:13B,9,A,13,B,9,10,20
22,19B:6A,19,B,6,A,10,9,20
23,16B:4A,16,B,4,A,9,8,20
24,17A:1B,17,A,1,B,8,9,20
25,12B:11B,12,B,11,B,9,9,20
26,10A:3B,10,A,3,B,9,10,20
27,14B:16B,14,B,16,B,10,10,20
28,17A:9A,17,A,9,A,10,10,20
29,1A:5B,1,A,5,B,10,11,20
30,5A:16B,5,A,16,B,11,12,20
31,2A:13A,2,A,13,A,12,12,20
32,1A:7A,1,A,7,A,12,12,20
33,16A:11B,16,A,11,B,12,13,20
34,18A:13A,18,A,13,A,13,13,20
35,0A:16A,0,A,16,A,13,13,20
36,7A:12B,7,A,12,B,13,14,20
37,19B:11A,19,B,11,A,14,13,20
38,4B:10A,4,B,10,A,13,12,20
39,18A:10B,18,A,10,B,12,13,20
40,15B:4B,15,B,4,B,13,13,20
41,0A:15B,0,A,15,B,13,14,20
42,13A:4B,13,A,4,B,14,15,20
43,15A:15A,15,A,15,A,15,15,20
44,8B:0A,8,B,0,A,15,14,20
45,18A:0B,18,A,0,B,14,15,20
46,4A:4A,4,A,4,A,15,15,20
47,10A:19B,10,A,19,B,15,16,20
48,10A:3A,10,A,3,A,16,16,20
49,15A:7A,15,A,7,A,16,16,20
50,5A:1A,5,A,1,A,16,16,20
51,4A:19A,4,A,19,A,16,16,20
52,9A:3A,9,A,3,A,16,16,20
53,16A:15A,16,A,15,A,16,16,20
54,12A:0A,12,A,0,A,16,16,20
55,12A:18A,12,A,18,A,16,16,20
56,4A:4A,4,A,4,A,16,16,20
57,5A:0A,5,A,0,A,16,16,20
58,12A:7A,12,A,7,A,16,16,20
59,11B:5A,11,B,5,A,16,15,20
60,13A:2A,13,A,2,A,15,15,20
61,10A:11B,10,A,11,B,15,16,20
62,1A:16A,1,A,16,A,16,16,20
63,11A:16A,11,A,16,A,16,16,20
64,11A:12A,11,A,12,A,16,16,20
65,17A:1A,17,A,1,A,16,16,20
66,12A:11A,12,A,11,A,16,16,20
67,4A:0A,4,A,0,A,16,16,20
68,7A:2A,7,A,2,A,16,16,20
69,7A:3A,7,A,3,A,16,16,20
70,15A:10A,15,A,10,A,16,16,20
71,2A:11A,2,A,11,A,16,16,20
72,11A:5B,11,A,5,B,16,17,20
73,16A:14B,16,A,14,B,17,18,20
74,19A:15A,19,A,15,A,18,18,20
75,12A:4A,12,A,4,A,18,18,20
76,1A:14A,1,A,14,A,18,18,20
77,0A:6B,0,A,6,B,18,19,20
78,0A:6A,0,A,6,A,19,19,20
79,17A:10A,17,A,10,A,19,19,20
80,18A:16A,18,A,16,A,19,19,20
81,7A:17A,7,A,17,A,19,19,20
82,9A:1A,9,A,1,A,19,19,20
83,15A:6A,15,A,6,A,19,19,20
84,5A:1A,5,A,1,A,19,19,20
85,17A:10A,17,A,10,A,19,19,20
86,5A:11A,5,A,11,A,19,19,20
87,8B:12A,8,B,12,A,19,18,20
88,14A:12B,14,A,12,B,18,19,20
89,6A:5A,6,A,5,A,19,19,20
90,10A:15A,10,A,15,A,19,19,20
91,7A:16A,7,A,16,A,19,19,20
92,5A:2A,5,A,2,A,19,19,20
93,14A:2A,14,A,2,A,19,19,20
94,8B:5A,8,B,5,A,19,18,20
95,11A:10A,11,A,10,A,18,18,20
96,2A:10A,2,A,10,A,18,18,20
97,13A:9A,13,A,9,A,18,18,20
98,9A:13A,9,A,13,A,18,18,20
99,3A:14A,3,A,14,A,18,18,20
100,7A:1A,7,A,1,A,18,18,20
101,14A:11A,14,A,11,A,18,18,20
102,12A:13A,12,A,13,A,18,18,20
103,5B:1A,5,B,1,A,18,17,20
104,1B:12A,1,B,12,A,17,16,20
105,7A:5B,7,A,5,B,16,17,20
106,19A:4A,19,A,4,A,17,17,20
107,17A:14A,17,A,14,A,17,17,20
108,0A:2A,0,A,2,A,17,17,20
109,4A:11A,4,A,11,A,17,17,20
110,7A:18A,7,A,18,A,17,17,20
111,0A:4A,0,A,4,A,17,17,20
112,13A:11A,13,A,11,A,17,17,20
113,7A:2A,7,A,2,A,17,17,20
114,11A:16A,11,A,16,A,17,17,20
115,7A:10A,7,A,10,A,17,17,20
116,13A:7A,13,A,7,A,17,17,20
117,19A:0A,19,A,0,A,17,17,20
118,14A:15A,14,A,15,A,17,17,20
119,10A:17A,10,A,17,A,17,17,20
120,2A:8B,2,A,8,B,17,18,20
121,14A:6A,14,A,6,A,18,18,20
122,19A:9A,19,A,9,A,18,18,20
123,13A:15A,13,A,15,A,18,18,20
124,4A:4A,4,A,4,A,18,18,20
125,17A:14A,17,A,14,A,18,18,20
126,3A:14A,3,A,14,A,18,18,20
127,19A:10A,19,A,10,A,18,18,20
128,13A:2A,13,A,2,A,18,18,20
129,10A:9A,10,A,9,A,18,18,20
130,17A:5A,17,A,5,A,18,18,20
131,14A:5A,14,A,5,A,18,18,20
132,15A:16A,15,A,16,A,18,18,20
133,4A:6A,4,A,6,A,18,18,20
134,15A:7A,15,A,7,A,18,18,20
135,15A:0A,15,A,0,A,18,18,20
136,7A:18A,7,A,18,A,18,18,20
137,7A:17A,7,A,17,A,18,18,20
138,2A:2A,2,A,2,A,18,18,20
139,1B:12B,1,B,12,B,18,18,20
140,19A:15A,19,A,15,A,18,18,20
141,10A:13A,10,A,13,A,18,18,20
142,16A:2A,16,A,2,A,18,18,20
143,2A:10A,2,A,10,A,18,18,20
144,12B:14A,12,B,14,A,18,17,20
145,9A:16A,9,A,16,A,17,17,20
146,6A:17A,6,A,17,A,17,17,20
147,12B:5A,12,B,5,A,17,16,20
148,15A:4A,15,A,4,A,16,16,20
149,8A:1B,8,A,1,B,16,17,20
150,16A:16A,16,A,16,A,17,17,20
151,2A:5B,2,A,5,B,17,18,20
152,3A:7A,3,A,7,A,18,18,20
153,6A:16A,6,A,16,A,18,18,20
