run_id,trace_csv,meta_json,true_r,true_N,true_i0,num_events_full
exp001_run01,data\groups\N15\raw\r1.0766_i5\exp001_run01.csv,,1.0766,20,5,
exp001_run02,data\groups\N15\raw\r1.0766_i5\exp001_run02.csv,,1.0766,20,5,
exp001_run03,data\groups\N15\raw\r1.0766_i5\exp001_run03.csv,,1.0766,20,5,
exp001_run04,data\groups\N15\raw\r1.0766_i5\exp001_run04.csv,,1.0766,20,5,
exp001_run05,data\groups\N15\raw\r1.0766_i5\exp001_run05.csv,,1.0766,20,5,
exp001_run06,data\groups\N15\raw\r1.0766_i5\exp001_run06.csv,,1.0766,20,5,
exp001_run07,data\groups\N15\raw\r1.0766_i5\exp001_run07.csv,,1.0766,20,5,
exp001_run08,data\groups\N15\raw\r1.0766_i5\exp001_run08.csv,,1.0766,20,5,
exp001_run09,data\groups\N15\raw\r1.0766_i5\exp001_run09.csv,,1.0766,20,5,
exp001_run10,data\groups\N15\raw\r1.0766_i5\exp001_run10.csv,,1.0766,20,5,
exp001_run11,data\groups\N15\raw\r1.0766_i5\exp001_run11.csv,,1.0766,20,5,
exp001_run12,data\groups\N15\raw\r1.0766_i5\exp001_run12.csv,,1.0766,20,5,
exp001_run13,data\groups\N15\raw\r1.0766_i5\exp001_run13.csv,,1.0766,20,5,
exp001_run14,data\groups\N15\raw\r1.0766_i5\exp001_run14.csv,,1.0766,20,5,
exp001_run15,data\groups\N15\raw\r1.0766_i5\exp001_run15.csv,,1.0766,20,5,
