step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,2A:7A,2,A,7,A,14,14,15
1,1A:1A,1,A,1,A,14,14,15
2,14B:6A,14,B,6,A,14,13,15
3,5A:1A,5,A,1,A,13,13,15
4,14B:1A,14,B,1,A,13,12,15
5,3A:14B,3,A,14,B,12,13,15
6,9A:5A,9,A,5,A,13,13,15
7,1B:2A,1,B,2,A,13,12,15
8,8A:4A,8,A,4,A,12,12,15
9,2B:5A,2,B,5,A,12,11,15
10,12A:8A,12,A,8,A,11,11,15
11,6B:6B,6,B,6,B,11,11,15
12,1B:13A,1,B,13,A,11,10,15
13,10A:10A,10,A,10,A,10,10,15
14,6B:14A,6,B,14,A,10,9,15
15,13B:3A,13,B,3,A,9,8,15
16,2B:8A,2,B,8,A,8,7,15
17,13B:13B,13,B,13,B,7,7,15
18,10A:6B,10,A,6,B,7,8,15
19,3B:1B,3,B,1,B,8,8,15
20,3B:14B,3,B,14,B,8,8,15
21,8B:14B,8,B,14,B,8,8,15
22,3B:0A,3,B,0,A,8,7,15
23,13B:9A,13,B,9,A,7,6,15
24,0B:10A,0,B,10,A,6,5,15
25,9B:6A,9,B,6,A,5,4,15
26,5B:4A,5,B,4,A,4,3,15
27,9B:7A,9,B,7,A,3,2,15
28,13B:2B,13,B,2,B,2,2,15
29,10B:3B,10,B,3,B,2,2,15
30,2B:13B,2,B,13,B,2,2,15
31,4B:14B,4,B,14,B,2,2,15
32,9B:3B,9,B,3,B,2,2,15
33,3B:10B,3,B,10,B,2,2,15
34,12A:1B,12,A,1,B,2,3,15
35,6B:3B,6,B,3,B,3,3,15
36,5B:8B,5,B,8,B,3,3,15
37,10B:9B,10,B,9,B,3,3,15
38,6B:7B,6,B,7,B,3,3,15
39,11A:1A,11,A,1,A,3,3,15
40,2B:14B,2,B,14,B,3,3,15
41,6B:6B,6,B,6,B,3,3,15
42,3B:6B,3,B,6,B,3,3,15
43,5B:5B,5,B,5,B,3,3,15
44,13B:11A,13,B,11,A,3,2,15
45,11B:5B,11,B,5,B,2,2,15
46,14B:14B,14,B,14,B,2,2,15
47,3B:2B,3,B,2,B,2,2,15
48,7B:7B,7,B,7,B,2,2,15
49,2B:13B,2,B,13,B,2,2,15
50,14B:7B,14,B,7,B,2,2,15
51,2B:2B,2,B,2,B,2,2,15
52,7B:4B,7,B,4,B,2,2,15
53,7B:3B,7,B,3,B,2,2,15
54,2B:2B,2,B,2,B,2,2,15
55,0B:1A,0,B,1,A,2,1,15
56,4B:0B,4,B,0,B,1,1,15
57,1B:4B,1,B,4,B,1,1,15
58,12A:10B,12,A,10,B,1,2,15
59,3B:4B,3,B,4,B,2,2,15
60,8B:8B,8,B,8,B,2,2,15
61,3B:9B,3,B,9,B,2,2,15
62,0B:10A,0,B,10,A,2,1,15
63,0B:8B,0,B,8,B,1,1,15
64,4B:9B,4,B,9,B,1,1,15
65,13B:11B,13,B,11,B,1,1,15
66,0B:4B,0,B,4,B,1,1,15
67,8B:14B,8,B,14,B,1,1,15
68,6B:3B,6,B,3,B,1,1,15
69,10B:1B,10,B,1,B,1,1,15
70,0B:5B,0,B,5,B,1,1,15
71,6B:5B,6,B,5,B,1,1,15
72,11B:7B,11,B,7,B,1,1,15
73,5B:3B,5,B,3,B,1,1,15
74,0B:12A,0,B,12,A,1,0,15
