step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,12B:12B,12,B,12,B,3,3,20
1,8B:14B,8,B,14,B,3,3,20
2,10B:17B,10,B,17,B,3,3,20
3,17B:0A,17,B,0,A,3,2,20
4,13B:3B,13,B,3,B,2,2,20
5,13B:17B,13,B,17,B,2,2,20
6,15B:10B,15,B,10,B,2,2,20
7,2A:13B,2,A,13,B,2,3,20
8,3B:0B,3,B,0,B,3,3,20
9,19B:8B,19,B,8,B,3,3,20
10,19B:5B,19,B,5,B,3,3,20
11,10B:3B,10,B,3,B,3,3,20
12,17B:9B,17,B,9,B,3,3,20
13,16B:16B,16,B,16,B,3,3,20
14,12B:4B,12,B,4,B,3,3,20
15,7B:5B,7,B,5,B,3,3,20
16,10B:16B,10,B,16,B,3,3,20
17,18B:19B,18,B,19,B,3,3,20
18,6B:0B,6,B,0,B,3,3,20
19,2A:11B,2,A,11,B,3,4,20
20,17B:9B,17,B,9,B,4,4,20
21,5B:7B,5,B,7,B,4,4,20
22,17B:2A,17,B,2,A,4,3,20
23,1A:15B,1,A,15,B,3,4,20
24,16B:17B,16,B,17,B,4,4,20
25,15A:4B,15,A,4,B,4,5,20
26,13A:17B,13,A,17,B,5,6,20
27,3B:16B,3,B,16,B,6,6,20
28,17A:13A,17,A,13,A,6,6,20
29,19B:17A,19,B,17,A,6,5,20
30,15A:6B,15,A,6,B,5,6,20
31,14B:12B,14,B,12,B,6,6,20
32,19B:11A,19,B,11,A,6,5,20
33,8B:16B,8,B,16,B,5,5,20
34,9B:7B,9,B,7,B,5,5,20
35,4A:10B,4,A,10,B,5,6,20
36,0B:17B,0,B,17,B,6,6,20
37,4A:7B,4,A,7,B,6,7,20
38,0B:1A,0,B,1,A,7,6,20
39,4A:1B,4,A,1,B,6,7,20
40,17B:2B,17,B,2,B,7,7,20
41,10A:8B,10,A,8,B,7,8,20
42,13A:6A,13,A,6,A,8,8,20
43,11B:18B,11,B,18,B,8,8,20
44,11B:7A,11,B,7,A,8,7,20
45,16B:13A,16,B,13,A,7,6,20
46,3B:3B,3,B,3,B,6,6,20
47,13B:11B,13,B,11,B,6,6,20
48,8A:14B,8,A,14,B,6,7,20
49,17B:1A,17,B,1,A,7,6,20
50,13B:3B,13,B,3,B,6,6,20
51,1B:10A,1,B,10,A,6,5,20
52,16B:3B,16,B,3,B,5,5,20
53,4A:6A,4,A,6,A,5,5,20
54,10B:4A,10,B,4,A,5,4,20
55,8A:8A,8,A,8,A,4,4,20
56,9B:2B,9,B,2,B,4,4,20
57,8A:17B,8,A,17,B,4,5,20
58,1B:17A,1,B,17,A,5,4,20
59,16B:2B,16,B,2,B,4,4,20
60,18B:7B,18,B,7,B,4,4,20
61,3B:15A,3,B,15,A,4,3,20
62,9B:12B,9,B,12,B,3,3,20
63,18B:5B,18,B,5,B,3,3,20
64,7B:12B,7,B,12,B,3,3,20
65,5B:14A,5,B,14,A,3,2,20
66,5B:17B,5,B,17,B,2,2,20
67,13B:15B,13,B,15,B,2,2,20
68,3B:9B,3,B,9,B,2,2,20
69,4B:1B,4,B,1,B,2,2,20
70,11B:17B,11,B,17,B,2,2,20
71,1B:10B,1,B,10,B,2,2,20
72,1B:18B,1,B,18,B,2,2,20
73,9B:16B,9,B,16,B,2,2,20
74,3B:16B,3,B,16,B,2,2,20
75,1B:5B,1,B,5,B,2,2,20
76,1B:2B,1,B,2,B,2,2,20
77,13B:7B,13,B,7,B,2,2,20
78,8A:18B,8,A,18,B,2,3,20
79,4B:19B,4,B,19,B,3,3,20
80,0B:2B,0,B,2,B,3,3,20
81,8A:18A,8,A,18,A,3,3,20
82,11B:10B,11,B,10,B,3,3,20
83,18A:6A,18,A,6,A,3,3,20
84,13B:10B,13,B,10,B,3,3,20
85,4B:12B,4,B,12,B,3,3,20
86,2B:9B,2,B,9,B,3,3,20
87,9B:2B,9,B,2,B,3,3,20
88,0B:19B,0,B,19,B,3,3,20
89,19B:3B,19,B,3,B,3,3,20
90,1B:6A,1,B,6,A,3,2,20
91,10B:4B,10,B,4,B,2,2,20
92,18A:2B,18,A,2,B,2,3,20
93,17B:11B,17,B,11,B,3,3,20
94,5B:14B,5,B,14,B,3,3,20
95,16B:9B,16,B,9,B,3,3,20
96,12B:16B,12,B,16,B,3,3,20
97,0B:17B,0,B,17,B,3,3,20
98,6B:3B,6,B,3,B,3,3,20
99,18A:4B,18,A,4,B,3,4,20
100,5B:3B,5,B,3,B,4,4,20
