step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,16B:16B,16,B,16,B,3,3,20
1,0A:10B,0,A,10,B,3,4,20
2,17B:19B,17,B,19,B,4,4,20
3,2A:12B,2,A,12,B,4,5,20
4,3B:5B,3,B,5,B,5,5,20
5,16B:19B,16,B,19,B,5,5,20
6,16B:5B,16,B,5,B,5,5,20
7,14B:1A,14,B,1,A,5,4,20
8,8B:7B,8,B,7,B,4,4,20
9,19B:19B,19,B,19,B,4,4,20
10,5B:14B,5,B,14,B,4,4,20
11,4B:7B,4,B,7,B,4,4,20
12,6B:15B,6,B,15,B,4,4,20
13,18B:6B,18,B,6,B,4,4,20
14,7B:18B,7,B,18,B,4,4,20
15,19B:14B,19,B,14,B,4,4,20
16,15B:12A,15,B,12,A,4,3,20
17,10A:13B,10,A,13,B,3,4,20
18,19B:6B,19,B,6,B,4,4,20
19,16B:4B,16,B,4,B,4,4,20
20,17B:1B,17,B,1,B,4,4,20
21,12B:11B,12,B,11,B,4,4,20
22,11B:3B,11,B,3,B,4,4,20
23,14B:16B,14,B,16,B,4,4,20
24,17B:9B,17,B,9,B,4,4,20
25,1B:5B,1,B,5,B,4,4,20
26,5B:16B,5,B,16,B,4,4,20
27,2A:13A,2,A,13,A,4,4,20
28,1B:7B,1,B,7,B,4,4,20
29,16B:11B,16,B,11,B,4,4,20
30,18B:13A,18,B,13,A,4,3,20
31,1B:16B,1,B,16,B,3,3,20
32,7B:12B,7,B,12,B,3,3,20
33,19B:11B,19,B,11,B,3,3,20
34,4B:10A,4,B,10,A,3,2,20
35,18B:10B,18,B,10,B,2,2,20
36,15B:4B,15,B,4,B,2,2,20
37,0A:15B,0,A,15,B,2,3,20
38,13B:4B,13,B,4,B,3,3,20
39,15A:15A,15,A,15,A,3,3,20
40,8B:0A,8,B,0,A,3,2,20
41,18B:0B,18,B,0,B,2,2,20
42,5B:4B,5,B,4,B,2,2,20
43,10B:19B,10,B,19,B,2,2,20
44,10B:3B,10,B,3,B,2,2,20
45,15A:7B,15,A,7,B,2,3,20
46,6B:1B,6,B,1,B,3,3,20
47,4B:19B,4,B,19,B,3,3,20
48,9B:3B,9,B,3,B,3,3,20
49,16B:15A,16,B,15,A,3,2,20
50,11B:0B,11,B,0,B,2,2,20
51,12B:18B,12,B,18,B,2,2,20
52,4B:4B,4,B,4,B,2,2,20
53,5B:0B,5,B,0,B,2,2,20
54,12B:7A,12,B,7,A,2,1,20
55,11B:5B,11,B,5,B,1,1,20
56,13B:2A,13,B,2,A,1,0,20
