exp_id,true_r,true_i0,true_N,rho_true,true_label,majority_vote,correct,x_count,o_count,n_replicates,per_replicate_labels
exp001,1.6666,1,20,0.399991,O,O,1,10,10,20,"X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X"
exp001,1.2883,2,20,0.40001,O,X,0,12,8,20,"X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,O,X"
exp001,1.581,2,20,0.599993,X,O,0,10,10,20,"X,X,X,X,O,O,O,X,X,O,O,X,X,O,O,X,O,O,O,X"
exp001,1.1754,3,20,0.399983,O,O,1,9,11,20,"X,X,X,O,O,O,O,O,X,X,O,X,O,O,O,X,O,O,X,X"
exp001,1.3557,3,20,0.600027,X,X,1,13,7,20,"X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X"
exp001,1.1161,4,20,0.400017,O,X,0,13,7,20,"X,X,X,X,X,X,O,X,X,X,O,X,X,O,O,O,O,X,O,X"
exp001,1.2522,4,20,0.599949,X,X,1,13,7,20,"X,X,X,X,O,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X"
exp001,1.0766,5,20,0.40001,O,O,1,10,10,20,"X,O,O,X,O,O,O,X,O,X,X,O,O,O,X,O,X,X,X,X"
exp001,1.1904,5,20,0.600033,X,X,1,13,7,20,"X,X,X,X,X,O,O,O,X,X,O,X,X,O,O,X,X,O,X,X"
exp001,1.0466,6,20,0.399967,O,X,0,15,5,20,"X,X,X,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X"
exp001,1.1473,6,20,0.599954,X,X,1,17,3,20,"X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X"
exp001,1.0218,7,20,0.399942,O,X,0,17,3,20,"X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X"
exp001,1.1143,7,20,0.600096,X,X,1,17,3,20,"X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X"
exp001,1.0,8,20,0.4,O,X,0,16,4,20,"X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X"
exp001,1.087,8,20,0.600087,X,X,1,16,4,20,"X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X"
exp001,0.9798,9,20,0.400008,O,X,0,16,4,20,"X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X"
exp001,1.0631,9,20,0.599893,X,X,1,18,2,20,"X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X"
exp001,0.9603,10,20,0.400089,O,X,0,14,6,20,"X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X"
exp001,1.0414,10,20,0.600047,X,X,1,17,3,20,"X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X"
exp001,0.9406,11,20,0.399994,O,X,0,14,6,20,"X,X,X,X,O,X,O,O,X,X,O,X,X,O,X,X,O,X,X,X"
exp001,1.0206,11,20,0.599953,X,X,1,16,4,20,"X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X"
exp001,0.92,12,20,0.400004,O,X,0,17,3,20,"X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X"
exp001,1.0,12,20,0.6,X,X,1,17,3,20,"X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.8975,13,20,0.400085,O,X,0,18,2,20,"X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.9786,13,20,0.599901,X,X,1,17,3,20,"X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X"
exp001,0.8716,14,20,0.40002,O,X,0,18,2,20,"X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.9555,14,20,0.600093,X,X,1,16,4,20,"X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X"
exp001,0.8401,15,20,0.400065,O,X,0,14,6,20,"X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X"
exp001,0.9289,15,20,0.600104,X,X,1,14,6,20,"X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,O,O"
exp001,0.7986,16,20,0.400062,O,X,0,13,7,20,"O,X,X,O,O,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X"
exp001,0.896,16,20,0.600031,X,X,1,18,2,20,"X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X"
exp001,0.7376,17,20,0.399931,O,X,0,12,8,20,"O,O,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X"
exp001,0.8508,17,20,0.600065,X,X,1,12,8,20,"X,O,O,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,O"
exp001,0.6325,18,20,0.399993,O,O,1,6,14,20,"O,X,X,O,O,O,O,O,O,X,O,O,O,X,X,O,X,O,O,O"
exp001,0.7762,18,20,0.599965,X,O,0,5,15,20,"O,X,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O"
exp001,0.4,19,20,0.4,O,O,1,1,19,20,"O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O"
exp001,0.6,19,20,0.599985,X,O,0,5,15,20,"O,O,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O"
