step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,1B:3B,1,B,3,B,1,1,15
1,4B:7B,4,B,7,B,1,1,15
2,3B:2B,3,B,2,B,1,1,15
3,10B:14B,10,B,14,B,1,1,15
4,8B:7B,8,B,7,B,1,1,15
5,3B:7B,3,B,7,B,1,1,15
6,12B:3B,12,B,3,B,1,1,15
7,1B:10B,1,B,10,B,1,1,15
8,6B:6B,6,B,6,B,1,1,15
9,6B:13B,6,B,13,B,1,1,15
10,10B:10B,10,B,10,B,1,1,15
11,9B:10B,9,B,10,B,1,1,15
12,1B:6B,1,B,6,B,1,1,15
13,10B:12B,10,B,12,B,1,1,15
14,12B:3B,12,B,3,B,1,1,15
15,2B:8B,2,B,8,B,1,1,15
16,6B:6B,6,B,6,B,1,1,15
17,2B:7B,2,B,7,B,1,1,15
18,3B:14B,3,B,14,B,1,1,15
19,1B:12B,1,B,12,B,1,1,15
20,12B:8B,12,B,8,B,1,1,15
21,1B:10B,1,B,10,B,1,1,15
22,14B:13B,14,B,13,B,1,1,15
23,0A:1B,0,A,1,B,1,2,15
24,13B:13B,13,B,13,B,2,2,15
25,3B:6B,3,B,6,B,2,2,15
26,7B:3B,7,B,3,B,2,2,15
27,12B:14B,12,B,14,B,2,2,15
28,0A:6B,0,A,6,B,2,3,15
29,0A:6A,0,A,6,A,3,3,15
30,3B:12B,3,B,12,B,3,3,15
31,11B:4B,11,B,4,B,3,3,15
32,6A:11B,6,A,11,B,3,4,15
33,14B:8B,14,B,8,B,4,4,15
34,9B:7B,9,B,7,B,4,4,15
35,2B:4B,2,B,4,B,4,4,15
36,3B:0A,3,B,0,A,4,3,15
37,8B:8B,8,B,8,B,3,3,15
38,0B:5B,0,B,5,B,3,3,15
39,0B:9B,0,B,9,B,3,3,15
40,7B:14B,7,B,14,B,3,3,15
41,12B:2B,12,B,2,B,3,3,15
42,0B:8B,0,B,8,B,3,3,15
43,1A:2B,1,A,2,B,3,4,15
44,1A:1A,1,A,1,A,4,4,15
45,10B:3B,10,B,3,B,4,4,15
46,6A:14B,6,A,14,B,4,5,15
47,8B:9B,8,B,9,B,5,5,15
48,8B:9B,8,B,9,B,5,5,15
49,1A:10B,1,A,10,B,5,6,15
50,8B:8B,8,B,8,B,6,6,15
51,4B:4B,4,B,4,B,6,6,15
52,3B:11A,3,B,11,A,6,5,15
53,4B:4B,4,B,4,B,5,5,15
54,5B:10A,5,B,10,A,5,4,15
55,9B:7B,9,B,7,B,4,4,15
56,4B:12B,4,B,12,B,4,4,15
57,14A:0B,14,A,0,B,4,5,15
58,6A:9B,6,A,9,B,5,6,15
59,14A:1A,14,A,1,A,6,6,15
60,8B:8B,8,B,8,B,6,6,15
61,3B:14A,3,B,14,A,6,5,15
62,5B:1A,5,B,1,A,5,4,15
63,13B:5B,13,B,5,B,4,4,15
64,4B:7B,4,B,7,B,4,4,15
65,12B:11B,12,B,11,B,4,4,15
66,4B:12B,4,B,12,B,4,4,15
67,9A:0A,9,A,0,A,4,4,15
68,10B:8B,10,B,8,B,4,4,15
69,4B:10B,4,B,10,B,4,4,15
70,1B:14B,1,B,14,B,4,4,15
71,2A:1B,2,A,1,B,4,5,15
72,13B:11B,13,B,11,B,5,5,15
73,8B:4B,8,B,4,B,5,5,15
74,4B:3B,4,B,3,B,5,5,15
75,10B:3B,10,B,3,B,5,5,15
76,10B:13B,10,B,13,B,5,5,15
77,3B:7B,3,B,7,B,5,5,15
78,3B:14B,3,B,14,B,5,5,15
79,12B:1A,12,B,1,A,5,4,15
80,9A:13B,9,A,13,B,4,5,15
81,4B:0A,4,B,0,A,5,4,15
82,5B:2A,5,B,2,A,4,3,15
83,9A:4B,9,A,4,B,3,4,15
84,2B:7B,2,B,7,B,4,4,15
85,8B:6A,8,B,6,A,4,3,15
86,8B:1B,8,B,1,B,3,3,15
87,1B:14B,1,B,14,B,3,3,15
88,10B:2B,10,B,2,B,3,3,15
89,8B:13A,8,B,13,A,3,2,15
90,5B:8B,5,B,8,B,2,2,15
91,2B:2B,2,B,2,B,2,2,15
92,0B:5B,0,B,5,B,2,2,15
93,13B:12B,13,B,12,B,2,2,15
94,14B:0B,14,B,0,B,2,2,15
95,13B:3B,13,B,3,B,2,2,15
96,10B:10B,10,B,10,B,2,2,15
97,1B:12B,1,B,12,B,2,2,15
98,8B:13B,8,B,13,B,2,2,15
99,6B:9A,6,B,9,A,2,1,15
100,11B:14B,11,B,14,B,1,1,15
101,13B:13B,13,B,13,B,1,1,15
102,2B:12B,2,B,12,B,1,1,15
103,12B:14B,12,B,14,B,1,1,15
104,6B:2B,6,B,2,B,1,1,15
105,11B:5B,11,B,5,B,1,1,15
106,11B:6B,11,B,6,B,1,1,15
107,12B:13B,12,B,13,B,1,1,15
108,11B:3B,11,B,3,B,1,1,15
109,4A:12B,4,A,12,B,1,2,15
110,10B:6B,10,B,6,B,2,2,15
111,13B:13B,13,B,13,B,2,2,15
112,7B:3B,7,B,3,B,2,2,15
113,12A:7B,12,A,7,B,2,3,15
114,5B:13B,5,B,13,B,3,3,15
115,11B:3B,11,B,3,B,3,3,15
116,3B:10B,3,B,10,B,3,3,15
117,2B:5B,2,B,5,B,3,3,15
118,4A:1B,4,A,1,B,3,4,15
119,14B:4A,14,B,4,A,4,3,15
120,5B:8B,5,B,8,B,3,3,15
121,5B:13B,5,B,13,B,3,3,15
122,8B:0B,8,B,0,B,3,3,15
123,1A:4B,1,A,4,B,3,4,15
124,2B:4A,2,B,4,A,4,3,15
125,0B:9B,0,B,9,B,3,3,15
126,6B:11B,6,B,11,B,3,3,15
127,11B:6B,11,B,6,B,3,3,15
128,9B:8B,9,B,8,B,3,3,15
129,1A:14B,1,A,14,B,3,4,15
130,8B:4B,8,B,4,B,4,4,15
131,0B:6B,0,B,6,B,4,4,15
132,0B:14A,0,B,14,A,4,3,15
133,12A:10B,12,A,10,B,3,4,15
134,10A:11B,10,A,11,B,4,5,15
135,11A:3B,11,A,3,B,5,6,15
136,5B:1A,5,B,1,A,6,5,15
137,14B:14B,14,B,14,B,5,5,15
138,4B:5B,4,B,5,B,5,5,15
139,9B:1B,9,B,1,B,5,5,15
140,10A:4B,10,A,4,B,5,6,15
141,7A:10A,7,A,10,A,6,6,15
142,6B:6B,6,B,6,B,6,6,15
143,10A:8B,10,A,8,B,6,7,15
144,1B:6B,1,B,6,B,7,7,15
145,9B:6B,9,B,6,B,7,7,15
146,10A:14B,10,A,14,B,7,8,15
147,2B:9B,2,B,9,B,8,8,15
148,4A:8A,4,A,8,A,8,8,15
149,12A:4A,12,A,4,A,8,8,15
150,4A:6B,4,A,6,B,8,9,15
151,11A:9B,11,A,9,B,9,10,15
152,9A:7A,9,A,7,A,10,10,15
153,6A:10A,6,A,10,A,10,10,15
154,3A:7A,3,A,7,A,10,10,15
155,11A:12A,11,A,12,A,10,10,15
156,11A:10A,11,A,10,A,10,10,15
157,1B:8A,1,B,8,A,10,9,15
158,9A:9A,9,A,9,A,9,9,15
159,5B:13B,5,B,13,B,9,9,15
160,14A:3A,14,A,3,A,9,9,15
161,10A:3A,10,A,3,A,9,9,15
162,12A:2B,12,A,2,B,9,10,15
163,0B:3A,0,B,3,A,10,9,15
164,14A:9A,14,A,9,A,9,9,15
165,12A:1B,12,A,1,B,9,10,15
166,6A:14A,6,A,14,A,10,10,15
167,9A:3B,9,A,3,B,10,11,15
168,10A:6A,10,A,6,A,11,11,15
169,7A:3A,7,A,3,A,11,11,15
170,2A:11A,2,A,11,A,11,11,15
171,0B:12A,0,B,12,A,11,10,15
172,12B:14A,12,B,14,A,10,9,15
173,1A:6A,1,A,6,A,9,9,15
174,3A:12B,3,A,12,B,9,10,15
175,14B:8B,14,B,8,B,10,10,15
176,6A:8B,6,A,8,B,10,11,15
177,3A:13B,3,A,13,B,11,12,15
178,1A:2A,1,A,2,A,12,12,15
179,12A:10A,12,A,10,A,12,12,15
180,7A:8A,7,A,8,A,12,12,15
181,8A:12A,8,A,12,A,12,12,15
