step,event,birth_index,birth_type,death_index,death_type,mutants_before,mutants_after,N
0,13B:3A,13,B,3,A,13,12,15
1,9A:3B,9,A,3,B,12,13,15
2,11A:2A,11,A,2,A,13,13,15
3,0A:3A,0,A,3,A,13,13,15
4,14B:9A,14,B,9,A,13,12,15
5,12A:1A,12,A,1,A,12,12,15
6,6A:14B,6,A,14,B,12,13,15
7,8A:3A,8,A,3,A,13,13,15
8,10A:6A,10,A,6,A,13,13,15
9,6A:3A,6,A,3,A,13,13,15
10,2A:11A,2,A,11,A,13,13,15
11,0A:12A,0,A,12,A,13,13,15
12,12A:14A,12,A,14,A,13,13,15
13,1A:6A,1,A,6,A,13,13,15
14,3A:12A,3,A,12,A,13,13,15
15,14A:8A,14,A,8,A,13,13,15
16,6A:8A,6,A,8,A,13,13,15
17,3A:13B,3,A,13,B,13,14,15
18,1A:2A,1,A,2,A,14,14,15
19,12A:10A,12,A,10,A,14,14,15
20,7A:8A,7,A,8,A,14,14,15
21,8A:12A,8,A,12,A,14,14,15
22,13A:9B,13,A,9,B,14,15,15
